Fiscal Year,National School Lunch,School Breakfast,Special Milk,Entitlement,Bonus,Total Federal Cost
1969,$203800000.00,$5400000.00,$101300000.00,$272000000.00,--,$582500000.00
1970,$300200000.00,$10800000.00,$101200000.00,$265200000.00,--,$679400000.00
1971,$532200000.00,$19400000.00,$91200000.00,$277300000.00,--,$920100000.00
1972,$738700000.00,$24900000.00,$90300000.00,$312100000.00,--,$1166000000.00
1973,$882100000.00,$34600000.00,$90800000.00,$331000000.00,--,$1338500000.00
1974,$1085400000.00,$59100000.00,$49200000.00,$316100000.00,--,$1509800000.00
1975,$1289000000.00,$86100000.00,$122900000.00,$423500000.00,--,$1921500000.00
1976,$1491500000.00,$113700000.00,$138500000.00,$418600000.00,--,$2162300000.00
1977,$1570300000.00,$148600000.00,$150000000.00,$540800000.00,--,$2409700000.00
1978,$1808300000.00,$181200000.00,$135300000.00,$485300000.00,$57600000.00,$2667700000.00
1979,$1983700000.00,$231000000.00,$133600000.00,$675300000.00,$69600000.00,$3093200000.00
1980,$2279400000.00,$287800000.00,$145200000.00,$765500000.00,$139000000.00,$3616900000.00
1981,$2380600000.00,$331700000.00,$100800000.00,$578900000.00,$316300000.00,$3708300000.00
1982,$2185400000.00,$317300000.00,$18300000.00,$426200000.00,$330800000.00,$3278000000.00
1983,$2401800000.00,$343800000.00,$17400000.00,$426800000.00,$374100000.00,$3563900000.00
1984,$2507700000.00,$364000000.00,$16000000.00,$440500000.00,$386900000.00,$3715100000.00
1985,$2578400000.00,$379300000.00,$15800000.00,$456000000.00,$345200000.00,$3774800000.00
1986,$2714600000.00,$406300000.00,$15500000.00,$445700000.00,$376200000.00,$3958300000.00
1987,$2797100000.00,$446800000.00,$15500000.00,$448500000.00,$439600000.00,$4147600000.00
1988,$2916400000.00,$482100000.00,$18700000.00,$466300000.00,$347400000.00,$4230900000.00
1989,$3005171956.50,$513448209.36,$18507478.37,$472661093.50,$291485964.00,$4301274701.72
1990,$3213878027.85,$599150822.29,$19184070.45,$463230753.82,$154069708.00,$4449513382.42
1991,$3524644214.51,$689854973.18,$19790126.31,$590020926.85,$109121544.00,$4933431784.85
1992,$3856138048.26,$791145600.17,$19537871.85,$583136036.29,$119760186.00,$5369717742.57
1993,$4081342454.66,$873329579.18,$18739504.98,$577823501.78,$90541626.00,$5641776666.61
1994,$4290661377.37,$963591937.62,$17789759.42,$629164793.96,$96156333.00,$5997364201.37
1995,$4466186471.39,$1049033525.61,$16982074.36,$611797123.39,$81842769.00,$6225841963.74
1996,$4661541551.18,$1118778212.07,$16755018.19,$647220106.85,$45806997.00,$6490101885.28
1997,$4934058871.33,$1214278856.82,$17432129.30,$590874611.98,$28782312.00,$6785426781.43
1998,$5101576257.96,$1272226169.59,$16837484.93,$642495681.28,$85706530.00,$7118842123.75
1999,$5314522088.47,$1345531234.11,$16491916.30,$661050766.06,$43832532.00,$7381428536.94
2000,$5492908559.65,$1393282144.17,$15438709.99,$606596255.57,$48605528.00,$7556831197.38
2001,$5612343867.10,$1450113201.19,$15547315.63,$802207242.08,$60597568.00,$7940809194.00
2002,$6049562844.43,$1566680560.04,$16056249.33,$720638620.00,$82626424.00,$8435564697.79
2003,$6340567536.11,$1651788738.72,$14298078.38,$696926630.93,$151725439.00,$8855306423.14
2004,$6663108263.46,$1775769414.37,$14207563.74,$762532770.08,$200482192.00,$9416100203.65
2005,$7055302978.77,$1927154373.85,$16437103.07,$823988151.63,$151141663.00,$9974024270.31
2006,$7387942140.63,$2041914342.39,$14580571.06,$772902200.04,$29371721.00,$10246710975.12
2007,$7706096573.97,$2163479169.01,$13618661.18,$1017016785.92,$16193664.00,$10916404854.08
2008,$8265008546.18,$2365547535.05,$14857401.91,$1033958555.54,$18525802.00,$11697897840.68
2009,$8872860719.00,$2582483934.04,$13971159.87,$933660650.36,$185413487.00,$12588389950.26
2010,$9750180264.69,$2859173875.02,$11926633.58,$1044099546.52,$83812854.00,$13749193173.82
